Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,72.24,73.74,71.83,73.58,508879389.0,699791468.0
2020-05-24,74.29,75.48,72.34,72.41,512377464.0,688542065.0
2020-05-23,74.8,75.65,73.54,74.29,513469083.0,706332983.0
2020-05-22,73.09,75.49,72.48,74.79,556859676.0,710881216.0
2020-05-21,77.99,78.14,71.48,73.23,586347434.0,695951680.0
2020-05-20,76.55,78.13,75.28,77.97,597284977.0,740917719.0
2020-05-19,75.9,76.7,73.94,76.56,554964244.0,727343979.0
2020-05-18,75.06,77.83,74.82,75.88,608744105.0,720781606.0
2020-05-17,73.55,76.7,73.46,75.04,589570871.0,712710640.0
2020-05-16,72.53,74.51,72.27,73.6,515070521.0,698894206.0
2020-05-15,74.21,74.82,71.66,72.5,581106000.0,688369187.0
2020-05-14,73.69,75.18,73.19,74.26,627997584.0,704952312.0
2020-05-13,73.06,74.43,72.33,73.78,570973672.0,700282763.0
2020-05-12,70.12,74.54,69.51,73.04,667923432.0,693115508.0
2020-05-11,72.4,73.21,67.25,70.03,765034467.0,664481874.0
2020-05-10,79.8,79.83,69.36,72.38,863438015.0,686607128.0
2020-05-09,81.92,82.21,79.25,79.84,697954016.0,757336647.0
2020-05-08,78.83,82.93,77.53,82.01,778337522.0,777761631.0
2020-05-07,78.51,79.77,76.92,78.82,727970990.0,747403704.0
2020-05-06,79.36,81.07,78.52,78.52,639791213.0,744442086.0
2020-05-05,79.85,80.98,78.68,79.4,648121934.0,752654283.0
2020-05-04,81.05,82.0,76.58,79.88,747792141.0,757001886.0
2020-05-03,83.15,83.72,80.66,81.0,713193612.0,767573911.0
2020-05-02,83.29,83.81,82.1,83.17,654590511.0,787912257.0
2020-05-01,81.27,84.0,81.24,83.26,718770032.0,788672293.0
2020-04-30,85.75,88.69,81.25,81.25,1039630361.0,769471413.0
2020-04-29,82.94,86.09,82.31,85.74,956420774.0,811444352.0
2020-04-28,82.82,83.0,81.0,82.9,744465562.0,784504274.0
2020-04-27,83.95,85.19,81.2,82.8,842372386.0,783442659.0
2020-04-26,85.63,87.89,83.25,83.93,905216411.0,793997923.0
2020-04-25,81.91,86.44,81.38,85.66,862671933.0,810164082.0
2020-04-24,80.82,82.82,80.82,81.92,699996322.0,774659999.0
2020-04-23,80.7,82.25,79.64,80.7,905211135.0,762938668.0
2020-04-22,74.84,81.68,74.5,80.7,903671788.0,762854610.0
2020-04-21,74.9,75.99,73.7,74.88,758115398.0,707666781.0
2020-04-20,80.94,82.69,73.9,75.06,1005447851.0,709297778.0
2020-04-19,79.94,83.5,78.82,80.84,1008091362.0,763803356.0
2020-04-18,76.93,80.09,76.8,79.99,878844408.0,755551726.0
2020-04-17,76.06,77.59,74.89,77.0,759611122.0,727194661.0
2020-04-16,70.72,76.48,68.16,76.01,929231360.0,717760165.0
2020-04-15,71.99,73.58,70.16,70.72,683118901.0,667683676.0
2020-04-14,73.16,74.32,71.96,71.99,713557789.0,679578431.0
2020-04-13,75.12,75.12,70.98,73.23,822272099.0,691133355.0
2020-04-12,74.57,77.03,73.31,75.09,740225924.0,708585880.0
2020-04-11,74.42,76.98,73.37,74.56,828165943.0,703375511.0
2020-04-10,82.92,83.12,70.96,74.5,955922250.0,702692092.0
2020-04-09,75.06,83.1,74.29,82.89,960424912.0,781715908.0
2020-04-08,72.03,75.72,71.23,75.06,743872422.0,707708995.0
2020-04-07,72.39,75.54,70.7,72.0,711647907.0,678806386.0
2020-04-06,67.05,72.61,67.04,72.53,679611798.0,683599103.0
2020-04-05,68.75,68.83,66.14,67.06,510493896.0,631952340.0
2020-04-04,67.8,69.12,67.13,68.73,574298372.0,647635465.0
2020-04-03,67.58,69.7,66.98,67.8,570157994.0,638756721.0
2020-04-02,65.93,70.47,65.2,67.58,591293710.0,636517419.0
2020-04-01,65.15,66.02,62.59,66.02,537358330.0,621679669.0
2020-03-31,66.06,66.26,64.43,65.15,516333154.0,613403867.0
2020-03-30,61.06,66.7,60.96,66.1,585147951.0,622255791.0
2020-03-29,65.19,65.42,61.07,61.07,498397550.0,574489178.0
2020-03-28,69.23,69.23,62.86,65.11,696562609.0,612341874.0
2020-03-27,67.93,72.26,66.81,69.27,631912468.0,651327047.0
2020-03-26,67.55,68.53,66.9,67.89,545562326.0,638220209.0
2020-03-25,69.4,69.72,66.61,67.58,624452433.0,635257469.0
2020-03-24,69.96,71.09,68.02,69.41,639036031.0,652346032.0
2020-03-23,63.74,69.89,62.02,69.89,736364752.0,656686203.0
2020-03-22,71.32,73.02,63.47,63.83,730950699.0,599672687.0
2020-03-21,71.05,75.01,68.43,71.29,986049950.0,669620549.0
2020-03-20,65.83,76.09,62.55,71.04,1042135792.0,667135800.0
2020-03-19,59.78,68.9,56.0,65.85,1003586345.0,618292024.0
2020-03-18,44.66,59.59,44.28,59.59,773775691.0,559446989.0
2020-03-17,42.95,46.01,42.83,44.62,436624179.0,418806292.0
2020-03-16,47.47,47.55,39.61,42.95,483830041.0,403017030.0
