Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,0.05,0.05,0.05,0.05,183914564.0,1400348731.0
2020-05-24,0.06,0.06,0.05,0.05,108565176.0,1364837949.0
2020-05-23,0.06,0.06,0.05,0.06,131277191.0,1434331268.0
2020-05-22,0.05,0.06,0.05,0.06,224368474.0,1447594927.0
2020-05-21,0.06,0.06,0.05,0.05,228349552.0,1354588705.0
2020-05-20,0.06,0.06,0.05,0.06,203310637.0,1474606328.0
2020-05-19,0.05,0.06,0.05,0.06,186581379.0,1463556399.0
2020-05-18,0.05,0.05,0.05,0.05,182874559.0,1406595713.0
2020-05-17,0.05,0.05,0.05,0.05,115459525.0,1331182503.0
2020-05-16,0.05,0.05,0.05,0.05,123913485.0,1320505417.0
2020-05-15,0.05,0.05,0.05,0.05,142644324.0,1308347933.0
2020-05-14,0.05,0.05,0.05,0.05,144469842.0,1319441299.0
2020-05-13,0.05,0.05,0.05,0.05,148356780.0,1334525067.0
2020-05-12,0.05,0.05,0.05,0.05,170879029.0,1307273995.0
2020-05-11,0.05,0.05,0.05,0.05,206327744.0,1247295902.0
2020-05-10,0.05,0.05,0.05,0.05,227335948.0,1236120365.0
2020-05-09,0.05,0.05,0.05,0.05,141642171.0,1341363556.0
2020-05-08,0.05,0.05,0.05,0.05,172647716.0,1356072735.0
2020-05-07,0.05,0.05,0.05,0.05,143479708.0,1325023314.0
2020-05-06,0.05,0.05,0.05,0.05,131357244.0,1290301530.0
2020-05-05,0.05,0.05,0.05,0.05,128066778.0,1279700216.0
2020-05-04,0.05,0.05,0.05,0.05,172243659.0,1287640569.0
2020-05-03,0.05,0.05,0.05,0.05,139890791.0,1268581580.0
2020-05-02,0.05,0.05,0.05,0.05,128138136.0,1322649295.0
2020-05-01,0.05,0.05,0.05,0.05,169546437.0,1329014979.0
2020-04-30,0.05,0.05,0.05,0.05,242494651.0,1240505150.0
2020-04-29,0.05,0.05,0.05,0.05,192508666.0,1340309755.0
2020-04-28,0.05,0.05,0.05,0.05,144584235.0,1223633868.0
2020-04-27,0.05,0.05,0.04,0.05,168989554.0,1208224849.0
2020-04-26,0.04,0.05,0.04,0.05,150611027.0,1189500871.0
2020-04-25,0.04,0.04,0.04,0.04,101619889.0,1099521578.0
2020-04-24,0.04,0.04,0.04,0.04,176233806.0,1085502725.0
2020-04-23,0.04,0.04,0.04,0.04,162468134.0,1052777327.0
2020-04-22,0.03,0.04,0.03,0.04,78891247.0,947879913.0
2020-04-21,0.03,0.03,0.03,0.03,86348515.0,899666804.0
2020-04-20,0.04,0.04,0.03,0.03,94301265.0,886099712.0
2020-04-19,0.04,0.04,0.04,0.04,87523446.0,928606735.0
2020-04-18,0.03,0.04,0.03,0.04,89893451.0,947715099.0
2020-04-17,0.03,0.03,0.03,0.03,79385033.0,896388081.0
2020-04-16,0.03,0.03,0.03,0.03,101314083.0,892107802.0
2020-04-15,0.03,0.03,0.03,0.03,68238171.0,826120877.0
2020-04-14,0.03,0.03,0.03,0.03,74633336.0,854917400.0
2020-04-13,0.03,0.03,0.03,0.03,84000834.0,858357566.0
2020-04-12,0.03,0.03,0.03,0.03,73751090.0,876485000.0
2020-04-11,0.03,0.03,0.03,0.03,75648111.0,864772500.0
2020-04-10,0.04,0.04,0.03,0.03,95977717.0,861179955.0
2020-04-09,0.04,0.04,0.04,0.04,86398497.0,938517018.0
2020-04-08,0.04,0.04,0.04,0.04,100892761.0,941511808.0
2020-04-07,0.04,0.04,0.03,0.04,117230378.0,910996902.0
2020-04-06,0.03,0.04,0.03,0.04,117138445.0,923427176.0
2020-04-05,0.03,0.03,0.03,0.03,64845688.0,829738786.0
2020-04-04,0.03,0.03,0.03,0.03,89146987.0,842753267.0
2020-04-03,0.03,0.03,0.03,0.03,89797916.0,837311638.0
2020-04-02,0.03,0.03,0.03,0.03,106987595.0,829262182.0
2020-04-01,0.03,0.03,0.03,0.03,92295629.0,799975595.0
2020-03-31,0.03,0.03,0.03,0.03,79871856.0,792149099.0
2020-03-30,0.03,0.03,0.03,0.03,81661518.0,774524834.0
2020-03-29,0.03,0.03,0.03,0.03,71027469.0,732404420.0
2020-03-28,0.03,0.03,0.03,0.03,85338156.0,771875681.0
2020-03-27,0.03,0.03,0.03,0.03,85517314.0,759700870.0
2020-03-26,0.03,0.03,0.03,0.03,81633746.0,796667266.0
2020-03-25,0.03,0.03,0.03,0.03,83388813.0,763234881.0
2020-03-24,0.03,0.03,0.03,0.03,88827461.0,782026252.0
2020-03-23,0.03,0.03,0.03,0.03,92453324.0,754023583.0
2020-03-22,0.03,0.03,0.03,0.03,78698656.0,702337218.0
2020-03-21,0.03,0.03,0.03,0.03,94598889.0,762610838.0
2020-03-20,0.03,0.03,0.03,0.03,142131507.0,761414942.0
2020-03-19,0.03,0.03,0.03,0.03,119348856.0,789518107.0
2020-03-18,0.03,0.03,0.02,0.03,77546807.0,656878463.0
2020-03-17,0.02,0.03,0.02,0.03,75837864.0,654479617.0
2020-03-16,0.03,0.03,0.02,0.02,94985577.0,625375603.0
2020-03-15,0.03,0.03,0.03,0.03,67311254.0,703131372.0
2020-03-14,0.03,0.03,0.03,0.03,65051356.0,674339082.0
2020-03-13,0.02,0.03,0.02,0.03,202296978.0,737296260.0
2020-03-12,0.04,0.04,0.02,0.02,179944370.0,621232514.0
2020-03-11,0.04,0.04,0.04,0.04,103084587.0,1027986946.0
2020-03-10,0.04,0.04,0.04,0.04,103411534.0,1075849153.0
2020-03-09,0.04,0.04,0.04,0.04,125578007.0,1075504682.0
2020-03-08,0.05,0.05,0.04,0.04,111437013.0,1122415113.0
2020-03-07,0.05,0.05,0.05,0.05,90448414.0,1268987677.0
2020-03-06,0.05,0.05,0.05,0.05,100834829.0,1333906157.0
2020-03-05,0.05,0.05,0.05,0.05,112291734.0,1323762215.0
2020-03-04,0.05,0.05,0.05,0.05,136505373.0,1270530335.0
2020-03-03,0.05,0.05,0.05,0.05,117373434.0,1264228224.0
2020-03-02,0.05,0.05,0.05,0.05,106582073.0,1269212107.0
2020-03-01,0.05,0.05,0.05,0.05,96716581.0,1190893586.0
2020-02-29,0.05,0.05,0.05,0.05,94074240.0,1232603349.0
2020-02-28,0.05,0.05,0.05,0.05,153965237.0,1260479442.0
2020-02-27,0.05,0.05,0.05,0.05,158104507.0,1288192613.0
2020-02-26,0.06,0.06,0.05,0.05,207080423.0,1282176761.0
2020-02-25,0.06,0.06,0.06,0.06,178219320.0,1461349871.0
2020-02-24,0.06,0.06,0.06,0.06,203582108.0,1528658725.0
2020-02-23,0.06,0.06,0.06,0.06,190486307.0,1594775788.0
2020-02-22,0.06,0.06,0.06,0.06,132866697.0,1512484799.0
2020-02-21,0.06,0.06,0.06,0.06,180464941.0,1520360747.0
2020-02-20,0.06,0.06,0.06,0.06,201763470.0,1510507527.0
2020-02-19,0.06,0.06,0.06,0.06,166141953.0,1494574416.0
2020-02-18,0.06,0.06,0.06,0.06,184674402.0,1622945092.0
2020-02-17,0.06,0.06,0.06,0.06,198079706.0,1556723434.0
2020-02-16,0.06,0.07,0.06,0.06,206918460.0,1624425325.0
2020-02-15,0.07,0.07,0.06,0.06,190925361.0,1655783318.0
2020-02-14,0.07,0.07,0.07,0.07,183283803.0,1829921956.0
2020-02-13,0.07,0.07,0.07,0.07,251519041.0,1778112985.0
2020-02-12,0.06,0.07,0.06,0.07,220517194.0,1772708813.0
2020-02-11,0.06,0.06,0.06,0.06,203550299.0,1639312126.0
2020-02-10,0.06,0.06,0.06,0.06,137083309.0,1565850308.0
2020-02-09,0.06,0.06,0.06,0.06,137945919.0,1602530106.0
2020-02-08,0.06,0.06,0.06,0.06,135969080.0,1554184888.0
2020-02-07,0.06,0.06,0.06,0.06,132154530.0,1550188289.0
2020-02-06,0.06,0.06,0.06,0.06,136652023.0,1549315823.0
2020-02-05,0.06,0.06,0.06,0.06,138149931.0,1535683141.0
2020-02-04,0.06,0.06,0.05,0.06,108933031.0,1451818140.0
2020-02-03,0.06,0.06,0.06,0.06,106658349.0,1477304250.0
2020-02-02,0.06,0.06,0.05,0.06,161454527.0,1445896375.0
2020-02-01,0.05,0.06,0.05,0.06,110646744.0,1454290893.0
2020-01-31,0.06,0.06,0.05,0.05,130754832.0,1394699437.0
2020-01-30,0.05,0.06,0.05,0.06,153009928.0,1453721298.0
2020-01-29,0.05,0.06,0.05,0.05,187136958.0,1387454346.0
2020-01-28,0.05,0.05,0.05,0.05,207996791.0,1370415129.0
2020-01-27,0.04,0.05,0.04,0.05,97006750.0,1242217391.0
2020-01-26,0.04,0.04,0.04,0.04,62759585.0,1155846119.0
2020-01-25,0.04,0.05,0.04,0.04,57389976.0,1121299567.0
2020-01-24,0.04,0.05,0.04,0.05,77503651.0,1166815356.0
2020-01-23,0.05,0.05,0.04,0.04,75034253.0,1123513004.0
2020-01-22,0.05,0.05,0.05,0.05,67145740.0,1183664601.0
2020-01-21,0.04,0.05,0.04,0.05,95915865.0,1192372176.0
2020-01-20,0.04,0.04,0.04,0.04,70100648.0,1137486373.0
2020-01-19,0.04,0.05,0.04,0.04,91187159.0,1088389472.0
2020-01-18,0.04,0.05,0.04,0.04,89192476.0,1162863289.0
2020-01-17,0.04,0.05,0.04,0.04,106282894.0,1166155737.0
2020-01-16,0.04,0.04,0.04,0.04,76686221.0,1073150540.0
