Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,0.07,0.08,0.07,0.08,28310972.0,1316648012.0
2020-05-24,0.07,0.08,0.07,0.07,26763715.0,1223655902.0
2020-05-23,0.07,0.08,0.07,0.07,26976968.0,1242082514.0
2020-05-22,0.07,0.07,0.07,0.07,28155605.0,1201148610.0
2020-05-21,0.07,0.07,0.07,0.07,23061287.0,1148468067.0
2020-05-20,0.07,0.07,0.07,0.07,8602251.0,1178538732.0
2020-05-19,0.07,0.07,0.07,0.07,8960596.0,1170269248.0
2020-05-18,0.07,0.07,0.07,0.07,9165024.0,1161233257.0
2020-05-17,0.07,0.07,0.06,0.07,8120742.0,1113725100.0
2020-05-16,0.06,0.07,0.06,0.07,9365648.0,1080851783.0
2020-05-15,0.06,0.07,0.06,0.06,9456745.0,1064156158.0
2020-05-14,0.07,0.07,0.06,0.06,7943638.0,1061306613.0
2020-05-13,0.06,0.07,0.06,0.07,7118044.0,1097489704.0
2020-05-12,0.06,0.07,0.06,0.06,6288003.0,1076780362.0
2020-05-11,0.06,0.07,0.06,0.06,9288767.0,1065973333.0
2020-05-10,0.07,0.07,0.06,0.06,6276989.0,1055362972.0
2020-05-09,0.07,0.07,0.07,0.07,7450963.0,1109068172.0
2020-05-08,0.07,0.07,0.06,0.07,7742791.0,1129109206.0
2020-05-07,0.06,0.07,0.06,0.07,13115710.0,1095022238.0
2020-05-06,0.06,0.07,0.06,0.06,7928262.0,1077104784.0
2020-05-05,0.06,0.06,0.06,0.06,12363411.0,1043061310.0
2020-05-04,0.06,0.06,0.06,0.06,8098040.0,1006374501.0
2020-05-03,0.06,0.06,0.06,0.06,7968703.0,993835265.0
2020-05-02,0.06,0.06,0.06,0.06,6640830.0,1000424958.0
2020-05-01,0.06,0.06,0.06,0.06,8432672.0,959773097.0
2020-04-30,0.06,0.07,0.06,0.06,10574388.0,959168422.0
2020-04-29,0.06,0.06,0.06,0.06,9611624.0,959892836.0
2020-04-28,0.06,0.06,0.06,0.06,8570638.0,814162780.0
2020-04-27,0.06,0.06,0.06,0.06,18162021.0,798821939.0
2020-04-26,0.05,0.06,0.05,0.06,4465844.0,787115977.0
2020-04-25,0.05,0.05,0.05,0.05,4494147.0,771976753.0
2020-04-24,0.05,0.05,0.05,0.05,5610098.0,759130990.0
2020-04-23,0.05,0.05,0.05,0.05,7424486.0,746873907.0
2020-04-22,0.05,0.05,0.05,0.05,7502831.0,718301646.0
2020-04-21,0.05,0.05,0.05,0.05,14235071.0,684818724.0
2020-04-20,0.05,0.05,0.05,0.05,5072467.0,695524017.0
2020-04-19,0.05,0.05,0.05,0.05,3893214.0,729594800.0
2020-04-18,0.05,0.05,0.05,0.05,4664742.0,734119674.0
2020-04-17,0.05,0.05,0.05,0.05,9681775.0,719518046.0
2020-04-16,0.05,0.05,0.05,0.05,6064520.0,721697009.0
2020-04-15,0.05,0.05,0.05,0.05,5094439.0,686662870.0
2020-04-14,0.05,0.05,0.05,0.05,5418480.0,709649929.0
2020-04-13,0.05,0.05,0.05,0.05,5859624.0,707305398.0
2020-04-12,0.05,0.05,0.05,0.05,6749484.0,717779628.0
2020-04-11,0.05,0.05,0.05,0.05,6673906.0,708535372.0
2020-04-10,0.05,0.05,0.05,0.05,6665333.0,705347324.0
2020-04-09,0.05,0.05,0.05,0.05,7564878.0,757273885.0
2020-04-08,0.05,0.05,0.05,0.05,6642642.0,765878216.0
2020-04-07,0.05,0.05,0.05,0.05,7946212.0,737691400.0
2020-04-06,0.05,0.05,0.05,0.05,6034696.0,742939330.0
2020-04-05,0.05,0.05,0.05,0.05,4950735.0,693009654.0
2020-04-04,0.05,0.05,0.05,0.05,6517431.0,684291454.0
2020-04-03,0.05,0.05,0.05,0.05,13616300.0,678424317.0
2020-04-02,0.05,0.05,0.05,0.05,4250932.0,676458417.0
2020-04-01,0.05,0.05,0.05,0.05,4207064.0,698816661.0
2020-03-31,0.05,0.05,0.05,0.05,7697988.0,695938661.0
2020-03-30,0.04,0.05,0.04,0.05,14662645.0,676282246.0
2020-03-29,0.04,0.04,0.04,0.04,19018072.0,590201799.0
2020-03-28,0.05,0.05,0.04,0.04,19831430.0,603580829.0
2020-03-27,0.05,0.05,0.04,0.05,8037250.0,643981517.0
2020-03-26,0.04,0.05,0.04,0.05,8762552.0,642651750.0
2020-03-25,0.04,0.04,0.04,0.04,13060671.0,617574222.0
2020-03-24,0.04,0.05,0.04,0.04,11740651.0,622426622.0
2020-03-23,0.04,0.04,0.04,0.04,11364819.0,572974901.0
2020-03-22,0.04,0.04,0.04,0.04,14789272.0,511860462.0
2020-03-21,0.04,0.04,0.04,0.04,16229620.0,537915830.0
2020-03-20,0.04,0.04,0.04,0.04,15508978.0,550756145.0
2020-03-19,0.03,0.04,0.03,0.04,18813358.0,566103619.0
2020-03-18,0.03,0.04,0.03,0.03,15981738.0,491508383.0
2020-03-17,0.03,0.03,0.03,0.03,10685821.0,480576314.0
2020-03-16,0.03,0.03,0.03,0.03,15650081.0,447332692.0
2020-03-15,0.03,0.04,0.03,0.03,15715236.0,463331235.0
2020-03-14,0.03,0.04,0.03,0.03,15568198.0,453496102.0
2020-03-13,0.03,0.04,0.03,0.03,11377827.0,482981300.0
2020-03-12,0.05,0.05,0.03,0.03,8719280.0,427932843.0
2020-03-11,0.05,0.05,0.05,0.05,9232986.0,698810478.0
2020-03-10,0.05,0.05,0.05,0.05,6118952.0,699711435.0
2020-03-09,0.05,0.05,0.05,0.05,4545824.0,699074116.0
2020-03-08,0.06,0.06,0.05,0.05,3516045.0,726968495.0
2020-03-07,0.06,0.06,0.06,0.06,3425904.0,798629239.0
2020-03-06,0.06,0.06,0.06,0.06,8107906.0,808707031.0
2020-03-05,0.06,0.06,0.06,0.06,16964758.0,814557421.0
2020-03-04,0.06,0.06,0.06,0.06,9924382.0,783224961.0
2020-03-03,0.06,0.06,0.05,0.06,8697815.0,781658919.0
2020-03-02,0.05,0.06,0.05,0.06,17098421.0,761159288.0
2020-03-01,0.05,0.05,0.05,0.05,16135029.0,731917788.0
2020-02-29,0.05,0.05,0.05,0.05,16695204.0,723320621.0
2020-02-28,0.05,0.05,0.05,0.05,12937109.0,736801328.0
2020-02-27,0.05,0.05,0.05,0.05,5785828.0,740949091.0
2020-02-26,0.06,0.06,0.05,0.05,17364235.0,733000835.0
2020-02-25,0.06,0.06,0.06,0.06,20985545.0,817106580.0
2020-02-24,0.06,0.06,0.06,0.06,22774495.0,830180698.0
2020-02-23,0.06,0.06,0.06,0.06,31065965.0,853363548.0
2020-02-22,0.06,0.06,0.06,0.06,38839905.0,814860540.0
2020-02-21,0.06,0.06,0.06,0.06,25833187.0,808726408.0
2020-02-20,0.06,0.06,0.06,0.06,16910849.0,797631547.0
2020-02-19,0.06,0.06,0.06,0.06,20608558.0,825453261.0
2020-02-18,0.06,0.06,0.06,0.06,21652630.0,850252319.0
2020-02-17,0.06,0.06,0.06,0.06,23772984.0,797792828.0
