Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,3.84,3.93,3.81,3.91,103938416.0,871054788.0
2020-05-24,3.96,4.0,3.83,3.84,113600320.0,855431998.0
2020-05-23,3.98,4.03,3.93,3.96,84870507.0,882803457.0
2020-05-22,3.93,4.0,3.89,3.98,111545097.0,887230910.0
2020-05-21,4.07,4.09,3.86,3.93,128224668.0,875886321.0
2020-05-20,4.12,4.16,4.02,4.07,111956074.0,905663392.0
2020-05-19,4.14,4.16,4.09,4.12,100223059.0,917087886.0
2020-05-18,4.09,4.19,4.08,4.14,125325470.0,922458451.0
2020-05-17,4.04,4.15,4.03,4.08,139896838.0,909414327.0
2020-05-16,4.05,4.08,4.0,4.04,130025272.0,899133004.0
2020-05-15,4.11,4.11,3.99,4.05,149396571.0,900956209.0
2020-05-14,3.93,4.12,3.91,4.1,174537838.0,913331093.0
2020-05-13,3.88,3.97,3.87,3.93,109003941.0,875125806.0
2020-05-12,3.77,3.91,3.75,3.88,132459501.0,864785109.0
2020-05-11,3.86,3.89,3.68,3.76,225273905.0,836249936.0
2020-05-10,4.11,4.11,3.69,3.86,273989290.0,858859653.0
2020-05-09,4.18,4.23,4.09,4.12,148267157.0,916545063.0
2020-05-08,4.24,4.3,4.17,4.18,129043935.0,931510923.0
2020-05-07,4.16,4.26,4.09,4.23,167426419.0,942556292.0
2020-05-06,4.18,4.25,4.16,4.16,125467516.0,926558613.0
2020-05-05,4.23,4.25,4.13,4.18,117873835.0,930933372.0
2020-05-04,4.2,4.26,4.07,4.23,148592672.0,941930363.0
2020-05-03,4.28,4.33,4.16,4.2,138481501.0,934435926.0
2020-05-02,4.26,4.28,4.22,4.28,113115387.0,952851745.0
2020-05-01,4.21,4.32,4.21,4.25,136209019.0,947116678.0
2020-04-30,4.32,4.49,4.15,4.21,333790303.0,937217848.0
2020-04-29,4.07,4.34,4.07,4.32,254179364.0,961639536.0
2020-04-28,4.07,4.08,4.03,4.07,128671562.0,907210540.0
2020-04-27,4.04,4.12,4.01,4.06,258217123.0,904486239.0
2020-04-26,3.98,4.09,3.95,4.03,250395217.0,898421464.0
2020-04-25,4.0,4.04,3.95,3.98,199869936.0,885399307.0
2020-04-24,3.91,4.01,3.91,4.0,240246604.0,890932727.0
2020-04-23,3.84,3.99,3.78,3.92,398655835.0,871889875.0
2020-04-22,3.71,3.88,3.68,3.84,257917103.0,855086948.0
2020-04-21,3.73,3.79,3.67,3.71,238361697.0,826715185.0
2020-04-20,3.88,3.93,3.71,3.74,254397409.0,833881253.0
2020-04-19,3.95,3.96,3.85,3.89,193877815.0,866577675.0
2020-04-18,3.83,3.96,3.82,3.94,276464347.0,878012837.0
2020-04-17,3.83,3.88,3.79,3.83,172710287.0,852709832.0
2020-04-16,3.65,3.87,3.59,3.83,308967771.0,853091184.0
2020-04-15,3.73,3.85,3.65,3.67,239443921.0,811687528.0
2020-04-14,3.72,3.81,3.68,3.71,236842407.0,840485625.0
2020-04-13,3.77,3.77,3.62,3.72,238565799.0,840912626.0
2020-04-12,3.68,3.89,3.65,3.78,203473665.0,854947263.0
2020-04-11,3.63,3.72,3.6,3.7,138359270.0,836950757.0
2020-04-10,3.91,3.92,3.57,3.63,215402446.0,822530783.0
2020-04-09,3.95,3.97,3.87,3.91,127004429.0,885146694.0
2020-04-08,3.9,4.0,3.87,3.96,164920067.0,896483284.0
2020-04-07,3.93,4.05,3.87,3.89,202680000.0,880803175.0
2020-04-06,3.73,3.97,3.71,3.93,211996728.0,889957167.0
2020-04-05,3.71,3.78,3.66,3.73,150835726.0,844374930.0
2020-04-04,3.53,3.71,3.5,3.71,147584108.0,840078861.0
2020-04-03,3.44,3.62,3.42,3.53,151713554.0,799045909.0
2020-04-02,3.39,3.58,3.32,3.43,185420086.0,775090592.0
2020-04-01,3.32,3.39,3.25,3.39,137860361.0,766586992.0
2020-03-31,3.29,3.33,3.26,3.32,114701840.0,751832015.0
2020-03-30,3.1,3.33,3.06,3.29,155975098.0,744713836.0
2020-03-29,3.25,3.26,3.08,3.1,121382641.0,701220257.0
2020-03-28,3.29,3.31,3.19,3.26,167993055.0,737074620.0
2020-03-27,3.39,3.43,3.29,3.3,155702155.0,746618505.0
