Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,9.72,9.98,9.62,9.94,366727302.0,701038394.0
2020-05-24,10.24,10.32,9.72,9.73,314447355.0,686324962.0
2020-05-23,10.39,10.46,10.14,10.24,352581209.0,722279599.0
2020-05-22,9.57,10.56,9.44,10.39,487140864.0,732980681.0
2020-05-21,10.13,10.18,9.27,9.58,395341395.0,675691237.0
2020-05-20,10.27,10.39,10.02,10.13,405751025.0,714602662.0
2020-05-19,10.25,10.28,9.87,10.27,462088018.0,724659697.0
2020-05-18,10.18,10.52,10.16,10.25,531778473.0,722799241.0
2020-05-17,9.99,10.42,9.97,10.17,533844350.0,717499584.0
2020-05-16,10.05,10.15,9.91,9.99,503683224.0,704982243.0
2020-05-15,10.16,10.24,9.9,10.05,605019837.0,708865333.0
2020-05-14,10.27,10.49,10.0,10.17,639858127.0,717098772.0
2020-05-13,10.0,10.43,9.87,10.29,570288242.0,725876334.0
2020-05-12,9.67,10.19,9.61,9.98,624959646.0,704084636.0
2020-05-11,9.78,10.11,9.44,9.66,930046029.0,681155156.0
2020-05-10,11.07,11.07,9.42,9.78,1114288546.0,689554887.0
2020-05-09,11.36,11.56,10.78,11.05,1080862774.0,779162424.0
2020-05-08,9.9,11.7,9.83,11.41,1047286451.0,804645172.0
2020-05-07,9.29,9.95,9.17,9.9,867621425.0,698022467.0
2020-05-06,9.1,9.47,9.06,9.28,772791299.0,654357534.0
2020-05-05,9.06,9.2,8.96,9.1,721959297.0,642053000.0
2020-05-04,9.08,9.13,8.72,9.06,750399793.0,639080130.0
2020-05-03,9.24,9.33,8.87,9.08,736471837.0,640515387.0
2020-05-02,9.08,9.29,9.01,9.24,676064634.0,651625204.0
2020-05-01,8.93,9.39,8.93,9.07,761060477.0,639833541.0
2020-04-30,9.26,9.6,8.83,8.93,880989687.0,629895971.0
2020-04-29,8.53,9.31,8.52,9.26,818069090.0,652990377.0
2020-04-28,8.44,8.61,8.34,8.53,612355217.0,601812609.0
2020-04-27,8.63,8.69,8.27,8.44,565532475.0,595358359.0
2020-04-26,8.47,8.7,8.38,8.63,615241318.0,608729346.0
2020-04-25,8.14,8.62,8.02,8.47,610982739.0,597669801.0
2020-04-24,7.83,8.29,7.82,8.13,574537854.0,573339194.0
2020-04-23,7.54,7.89,7.47,7.81,537381727.0,551065196.0
2020-04-22,7.27,7.63,7.25,7.53,408538795.0,531163475.0
2020-04-21,7.27,7.37,7.21,7.28,362488355.0,513284862.0
2020-04-20,7.68,7.84,7.21,7.27,463328413.0,512747554.0
2020-04-19,7.88,7.94,7.59,7.68,459044662.0,541629973.0
