Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,1.0,1.01,0.99,1.0,35985513624.0,8826217018.0
2020-05-24,1.01,1.02,1.0,1.0,38944229194.0,8807651948.0
2020-05-23,1.0,1.01,1.0,1.01,33726005349.0,8846790751.0
2020-05-22,1.0,1.01,1.0,1.0,37971264880.0,8818190632.0
2020-05-21,1.0,1.01,0.99,1.0,47340041421.0,8815678128.0
2020-05-20,1.0,1.02,0.99,1.0,44447276085.0,8788814168.0
2020-05-19,1.0,1.01,0.99,1.0,46955432504.0,8763040004.0
2020-05-18,1.0,1.01,0.99,1.0,50496315260.0,8809951434.0
2020-05-17,1.0,1.01,0.99,1.0,45525203695.0,8812055307.0
2020-05-16,1.0,1.01,1.0,1.0,42259786355.0,8799772955.0
2020-05-15,1.0,1.02,0.99,1.0,53148365727.0,8833010950.0
2020-05-14,1.0,1.01,0.99,1.0,64544825214.0,8788042863.0
2020-05-13,1.0,1.0,0.99,1.0,53063776325.0,6362506770.0
2020-05-12,1.0,1.01,1.0,1.0,49750084616.0,6365704844.0
2020-05-11,1.0,1.02,0.97,1.0,68664007367.0,6350624152.0
2020-05-10,1.01,1.06,0.99,1.0,79545041693.0,6367741249.0
2020-05-09,1.0,1.01,1.0,1.0,57870685210.0,6391680873.0
2020-05-08,1.0,1.01,0.99,1.0,63400633378.0,6384977966.0
2020-05-07,1.01,1.02,0.99,1.0,72554504815.0,6379446479.0
2020-05-06,1.0,1.02,1.0,1.02,59321368204.0,6475090416.0
2020-05-05,1.01,1.02,1.0,1.0,53776437547.0,6366478087.0
2020-05-04,1.0,1.02,1.0,1.01,60315142637.0,6399889751.0
2020-05-03,1.0,1.01,1.0,1.0,58963072938.0,6383346956.0
2020-05-02,1.01,1.01,1.0,1.0,49997806582.0,6383156258.0
2020-05-01,1.0,1.01,1.0,1.01,56216767268.0,6412791086.0
2020-04-30,1.01,1.02,0.99,1.01,89936833210.0,6393551732.0
2020-04-29,1.01,1.01,0.99,1.01,79272305845.0,6412700243.0
2020-04-28,1.0,1.01,1.0,1.01,45898873538.0,6410789504.0
2020-04-27,1.0,1.01,1.0,1.0,50062655667.0,6387052315.0
2020-04-26,1.0,1.01,1.0,1.0,46243541830.0,6363019032.0
2020-04-25,1.01,1.01,1.0,1.0,44807056872.0,6390799911.0
2020-04-24,1.0,1.01,0.99,1.01,45214285339.0,6411491023.0
2020-04-23,1.0,1.01,0.98,1.0,56696647551.0,6346351412.0
2020-04-22,1.01,1.01,1.0,1.0,45471713945.0,6366825027.0
2020-04-21,1.01,1.01,1.0,1.01,42681951159.0,6402099231.0
2020-04-20,1.01,1.02,1.0,1.0,54458798119.0,6391590599.0
2020-04-19,1.0,1.02,1.0,1.01,44414316787.0,6410036078.0
2020-04-18,1.01,1.01,1.0,1.0,45234041690.0,6365977429.0
2020-04-17,1.0,1.01,1.0,1.01,43011919954.0,6403916828.0
2020-04-16,1.0,1.01,0.98,1.0,63213195169.0,6378329269.0
2020-04-15,1.0,1.01,0.99,1.0,40321714369.0,6358033898.0
2020-04-14,1.0,1.01,0.99,1.0,42246776207.0,6340713383.0
