Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,0.01,0.01,0.01,0.01,1472796404.0,983042810.0
2020-05-24,0.02,0.02,0.01,0.01,1484128068.0,962195908.0
2020-05-23,0.01,0.02,0.01,0.02,1511113356.0,1003418839.0
2020-05-22,0.01,0.02,0.01,0.01,1529285626.0,990846328.0
2020-05-21,0.01,0.02,0.01,0.01,1485466980.0,950636867.0
2020-05-20,0.02,0.02,0.01,0.02,1549092830.0,1000276975.0
2020-05-19,0.02,0.02,0.02,0.02,1525778977.0,1034362953.0
2020-05-18,0.02,0.02,0.01,0.02,1514322601.0,1023960690.0
2020-05-17,0.01,0.02,0.01,0.02,1507268889.0,1000491132.0
2020-05-16,0.01,0.02,0.01,0.01,1494408339.0,997697025.0
2020-05-15,0.02,0.02,0.01,0.01,1521940437.0,994685235.0
2020-05-14,0.01,0.02,0.01,0.02,1642843797.0,1017779947.0
2020-05-13,0.01,0.02,0.01,0.02,1584119641.0,1000411128.0
2020-05-12,0.01,0.01,0.01,0.01,1644365120.0,970816507.0
2020-05-11,0.01,0.01,0.01,0.01,1723522613.0,935016595.0
2020-05-10,0.02,0.02,0.01,0.01,1751400504.0,952402373.0
2020-05-09,0.02,0.02,0.02,0.02,1624909900.0,1080118125.0
2020-05-08,0.02,0.02,0.02,0.02,1695737285.0,1088575109.0
2020-05-07,0.02,0.02,0.02,0.02,1694644130.0,1070629228.0
2020-05-06,0.02,0.02,0.02,0.02,1566060151.0,1055412677.0
2020-05-05,0.02,0.02,0.02,0.02,1797335086.0,1060401614.0
2020-05-04,0.02,0.02,0.02,0.02,1743677561.0,1087352090.0
2020-05-03,0.02,0.02,0.02,0.02,1561508724.0,1068267999.0
2020-05-02,0.02,0.02,0.02,0.02,1500824958.0,1091915962.0
2020-05-01,0.02,0.02,0.02,0.02,1620462039.0,1059754823.0
2020-04-30,0.02,0.02,0.02,0.02,1686974900.0,1018736565.0
2020-04-29,0.02,0.02,0.02,0.02,1744485549.0,1087667165.0
2020-04-28,0.01,0.02,0.01,0.02,1536500537.0,1026540586.0
2020-04-27,0.01,0.01,0.01,0.01,1431665480.0,970492181.0
2020-04-26,0.01,0.01,0.01,0.01,1396232783.0,950377220.0
2020-04-25,0.01,0.01,0.01,0.01,1484554238.0,934729998.0
2020-04-24,0.01,0.01,0.01,0.01,1538403027.0,934832407.0
2020-04-23,0.01,0.01,0.01,0.01,1370466698.0,903778064.0
2020-04-22,0.01,0.01,0.01,0.01,1277662807.0,865254234.0
