Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,1.14,1.15,1.13,1.14,13466762.0,1144328502.0
2020-05-24,1.14,1.15,1.13,1.14,11688472.0,1139876850.0
2020-05-23,1.14,1.14,1.13,1.14,11045978.0,1138743233.0
2020-05-22,1.12,1.14,1.12,1.14,12158789.0,1137086666.0
2020-05-21,1.1,1.13,1.1,1.12,12422358.0,1121955055.0
2020-05-20,1.08,1.11,1.08,1.1,11877700.0,1102368274.0
2020-05-19,1.08,1.09,1.08,1.08,13634561.0,1082732093.0
2020-05-18,1.08,1.09,1.08,1.08,30089694.0,1081770147.0
2020-05-17,1.09,1.12,1.08,1.08,26732788.0,1081119307.0
2020-05-16,1.09,1.1,1.08,1.09,17248356.0,1090386184.0
2020-05-15,1.1,1.11,1.08,1.09,22320229.0,1086074101.0
2020-05-14,1.12,1.12,1.07,1.1,22996718.0,1099671279.0
2020-05-13,1.13,1.16,1.06,1.12,20525662.0,1118818145.0
2020-05-12,1.09,1.13,1.08,1.13,22843781.0,1128710548.0
2020-05-11,1.1,1.11,1.07,1.09,13613769.0,1085567478.0
2020-05-10,1.07,1.11,1.06,1.1,14653985.0,1098607135.0
2020-05-09,1.06,1.07,1.06,1.07,14509160.0,1071282583.0
2020-05-08,1.07,1.07,1.06,1.06,19967485.0,1060712606.0
2020-05-07,1.07,1.08,1.05,1.07,27424049.0,1064685996.0
2020-05-06,1.02,1.13,1.02,1.07,28087444.0,1066391242.0
2020-05-05,1.05,1.07,1.0,1.02,25511283.0,1023008647.0
2020-05-04,1.06,1.08,1.05,1.05,14872834.0,1053844240.0
2020-05-03,1.06,1.07,1.06,1.06,11048796.0,1064018113.0
2020-05-02,1.07,1.08,1.06,1.07,12283931.0,1064959221.0
2020-05-01,1.07,1.07,1.06,1.07,11604696.0,1067784355.0
2020-04-30,1.07,1.08,1.05,1.07,12290170.0,1067563432.0
2020-04-29,1.05,1.07,1.04,1.07,13015907.0,1071150335.0
2020-04-28,1.05,1.06,1.05,1.05,11478964.0,1053268293.0
2020-04-27,1.05,1.06,1.04,1.05,11285191.0,1052143084.0
2020-04-26,1.05,1.06,1.04,1.05,10752314.0,1045888550.0
2020-04-25,1.05,1.06,1.04,1.05,11441230.0,1051427663.0
2020-04-24,1.04,1.06,1.03,1.05,11372879.0,1053859995.0
2020-04-23,1.04,1.05,1.02,1.04,11521019.0,1039862746.0
2020-04-22,1.04,1.05,1.04,1.04,11343278.0,1041774564.0
2020-04-21,1.04,1.05,1.03,1.04,11499616.0,1041658479.0
2020-04-20,1.04,1.05,1.03,1.04,13063216.0,1037964574.0
2020-04-19,1.04,1.05,1.03,1.04,12498402.0,1041370673.0
2020-04-18,1.04,1.04,1.03,1.03,11664777.0,1034111672.0
2020-04-17,1.03,1.04,1.03,1.04,12857351.0,1037683620.0
2020-04-16,1.02,1.03,1.01,1.03,11215080.0,1032616524.0
2020-04-15,1.02,1.03,1.01,1.02,10828876.0,1021365329.0
2020-04-14,1.02,1.02,1.01,1.01,10585908.0,1014299746.0
2020-04-13,1.02,1.04,1.01,1.02,8815883.0,1015523874.0
2020-04-12,1.01,1.02,1.01,1.02,9244072.0,1023562557.0
2020-04-11,1.02,1.02,1.0,1.01,7391792.0,1014247412.0
2020-04-10,1.02,1.03,1.01,1.02,9364957.0,1020121742.0
2020-04-09,1.02,1.03,1.01,1.02,9494945.0,1021037887.0
2020-04-08,1.02,1.02,1.0,1.02,9983278.0,1017161993.0
2020-04-07,1.02,1.04,1.01,1.02,12067858.0,1017385664.0
2020-04-06,1.03,1.04,1.02,1.03,10805723.0,1024855511.0
2020-04-05,1.03,1.04,1.03,1.03,7819717.0,1030817805.0
2020-04-04,1.04,1.05,1.03,1.03,9024576.0,1033445575.0
2020-04-03,1.04,1.05,1.03,1.04,9113799.0,1034966147.0
2020-04-02,1.05,1.06,1.03,1.04,10521485.0,1041558603.0
2020-04-01,1.04,1.06,1.02,1.05,9375131.0,1048526462.0
