Date,Open,High,Low,Close,Volume,Market Capacity
2020-05-25,0.2,0.2,0.19,0.2,1671594106.0,8704663297.0
2020-05-24,0.2,0.2,0.2,0.2,1447641496.0,8621039125.0
2020-05-23,0.2,0.2,0.2,0.2,1459815520.0,8772115860.0
2020-05-22,0.2,0.2,0.19,0.2,1852264124.0,8837711659.0
2020-05-21,0.2,0.2,0.19,0.2,1753934487.0,8624477986.0
2020-05-20,0.2,0.21,0.2,0.2,1933723829.0,8897878389.0
2020-05-19,0.21,0.21,0.2,0.2,1973351018.0,9000248027.0
2020-05-18,0.2,0.21,0.2,0.21,1968537517.0,9050915906.0
2020-05-17,0.2,0.2,0.2,0.2,1752063749.0,8877940578.0
2020-05-16,0.2,0.2,0.2,0.2,1794850124.0,8823975223.0
2020-05-15,0.2,0.2,0.2,0.2,2046326382.0,8774523681.0
2020-05-14,0.2,0.2,0.2,0.2,2154131805.0,8960609479.0
2020-05-13,0.2,0.2,0.2,0.2,1947109951.0,8887871910.0
2020-05-12,0.19,0.2,0.19,0.2,2056508741.0,8718347383.0
2020-05-11,0.2,0.2,0.19,0.19,2470709527.0,8560709529.0
2020-05-10,0.22,0.22,0.19,0.2,3067472277.0,8742104206.0
2020-05-09,0.22,0.22,0.22,0.22,2543805062.0,9568176317.0
2020-05-08,0.22,0.22,0.22,0.22,2460030844.0,9697204907.0
2020-05-07,0.22,0.22,0.21,0.22,2582702615.0,9657066730.0
2020-05-06,0.22,0.22,0.22,0.22,2159327467.0,9493539897.0
2020-05-05,0.22,0.22,0.22,0.22,2104127661.0,9548784765.0
2020-05-04,0.22,0.22,0.21,0.22,2462194723.0,9659096485.0
2020-05-03,0.22,0.23,0.22,0.22,2182399826.0,9678990068.0
2020-05-02,0.22,0.23,0.22,0.22,2170661654.0,9877477086.0
2020-05-01,0.21,0.22,0.21,0.22,2306876493.0,9671641236.0
2020-04-30,0.23,0.24,0.21,0.21,3145263527.0,9385477916.0
2020-04-29,0.22,0.23,0.21,0.23,3041995823.0,10032694258.0
2020-04-28,0.2,0.22,0.2,0.22,2515531348.0,9505616088.0
2020-04-27,0.2,0.2,0.2,0.2,1792695610.0,8733381417.0
2020-04-26,0.2,0.2,0.19,0.2,1692427521.0,8677070504.0
2020-04-25,0.19,0.2,0.19,0.2,1648491142.0,8599842766.0
2020-04-24,0.19,0.2,0.19,0.19,1853837706.0,8538612711.0
2020-04-23,0.19,0.19,0.19,0.19,2271111354.0,8452461961.0
2020-04-22,0.18,0.19,0.18,0.19,1783803231.0,8287541721.0
2020-04-21,0.18,0.19,0.18,0.18,1912728846.0,8126957533.0
2020-04-20,0.19,0.19,0.18,0.18,2364973860.0,8090006361.0
2020-04-19,0.2,0.2,0.19,0.19,1904866741.0,8414904361.0
2020-04-18,0.19,0.2,0.19,0.19,1918245143.0,8594155313.0
2020-04-17,0.19,0.19,0.19,0.19,1887808776.0,8385919739.0
2020-04-16,0.18,0.19,0.18,0.19,2610251456.0,8381628981.0
2020-04-15,0.19,0.19,0.18,0.18,1963736221.0,7989127042.0
2020-04-14,0.19,0.19,0.18,0.19,1889687587.0,8168316007.0
2020-04-13,0.19,0.19,0.18,0.19,2253497429.0,8273953308.0
2020-04-12,0.19,0.19,0.19,0.19,2087857417.0,8361929949.0
2020-04-11,0.19,0.19,0.19,0.19,1847482831.0,8270834076.0
2020-04-10,0.2,0.2,0.18,0.19,2105282079.0,8244475832.0
2020-04-09,0.2,0.2,0.2,0.2,1878628668.0,8719129423.0
2020-04-08,0.19,0.2,0.19,0.2,2091042647.0,8834009937.0
2020-04-07,0.2,0.2,0.19,0.19,2626151910.0,8448042799.0
2020-04-06,0.18,0.2,0.18,0.2,2529832372.0,8598152596.0
2020-04-05,0.18,0.18,0.18,0.18,1660971367.0,7882313124.0
2020-04-04,0.18,0.18,0.18,0.18,1793826153.0,7984528291.0
2020-04-03,0.18,0.18,0.18,0.18,2106869711.0,7884998557.0
2020-04-02,0.18,0.18,0.17,0.18,2352651038.0,7848687168.0
2020-04-01,0.17,0.18,0.17,0.18,2053108172.0,7702917454.0
2020-03-31,0.17,0.18,0.17,0.17,2101862050.0,7669550526.0
2020-03-30,0.16,0.17,0.16,0.17,2131319206.0,7564440755.0
2020-03-29,0.18,0.18,0.16,0.16,1996124443.0,7193114648.0
2020-03-28,0.18,0.18,0.17,0.18,2689925753.0,7717955718.0
2020-03-27,0.18,0.19,0.17,0.18,2849306896.0,7736067263.0
2020-03-26,0.16,0.18,0.16,0.18,2236102811.0,7684422876.0
2020-03-25,0.16,0.16,0.16,0.16,2096308696.0,7096688846.0
2020-03-24,0.16,0.16,0.16,0.16,2155981658.0,7123997865.0
2020-03-23,0.15,0.16,0.15,0.16,2117431211.0,6901653397.0
2020-03-22,0.16,0.16,0.15,0.15,1864979798.0,6585765149.0
2020-03-21,0.16,0.16,0.15,0.16,2068099167.0,6934993697.0
2020-03-20,0.17,0.17,0.15,0.16,2946481356.0,6877526045.0
2020-03-19,0.14,0.17,0.14,0.17,2590533670.0,7235640318.0
2020-03-18,0.14,0.15,0.14,0.14,1964626837.0,6273900950.0
2020-03-17,0.14,0.15,0.14,0.14,2134494360.0,6336314382.0
2020-03-16,0.15,0.15,0.13,0.14,2646513874.0,6184578517.0
2020-03-15,0.15,0.16,0.15,0.15,2197842519.0,6743672547.0
2020-03-14,0.16,0.16,0.15,0.15,2310448365.0,6454051866.0
2020-03-13,0.14,0.16,0.12,0.16,5160523077.0,6982495632.0
2020-03-12,0.21,0.21,0.14,0.14,3547958418.0,6118533337.0
2020-03-11,0.21,0.21,0.2,0.21,2130165442.0,9118339803.0
2020-03-10,0.21,0.22,0.21,0.21,2317233373.0,9299728108.0
2020-03-09,0.21,0.21,0.2,0.21,2796925948.0,9165891732.0
2020-03-08,0.24,0.24,0.21,0.21,2627253062.0,9066135755.0
2020-03-07,0.24,0.24,0.24,0.24,2109420975.0,10387966255.0
2020-03-06,0.24,0.25,0.24,0.24,2423236344.0,10695465318.0
2020-03-05,0.23,0.24,0.23,0.24,2299594699.0,10497998118.0
2020-03-04,0.23,0.24,0.23,0.23,2280839542.0,10267618515.0
2020-03-03,0.24,0.24,0.23,0.23,2524293730.0,10261064959.0
2020-03-02,0.23,0.24,0.23,0.24,2466061224.0,10452240984.0
2020-03-01,0.23,0.24,0.23,0.23,2086828072.0,10018780809.0
2020-02-29,0.24,0.24,0.23,0.23,2061348763.0,10121531623.0
2020-02-28,0.24,0.24,0.23,0.24,2468502732.0,10344935599.0
2020-02-27,0.23,0.25,0.23,0.24,2775673347.0,10373699553.0
2020-02-26,0.25,0.26,0.23,0.23,3273784862.0,10099606649.0
2020-02-25,0.27,0.27,0.25,0.25,2590099692.0,11086614590.0
2020-02-24,0.28,0.28,0.27,0.27,2472100400.0,11839763802.0
2020-02-23,0.28,0.28,0.28,0.28,2313819448.0,12368433149.0
2020-02-22,0.28,0.28,0.27,0.28,2190665842.0,12070510427.0
2020-02-21,0.27,0.28,0.27,0.27,2626495845.0,12028366232.0
2020-02-20,0.28,0.28,0.27,0.27,3138024579.0,11913164915.0
2020-02-19,0.3,0.3,0.28,0.28,3096501889.0,12140870561.0
2020-02-18,0.29,0.3,0.28,0.3,3719318846.0,13029144053.0
2020-02-17,0.29,0.3,0.27,0.29,3690067847.0,12525667661.0
2020-02-16,0.31,0.32,0.28,0.3,4025339058.0,12895529010.0
2020-02-15,0.34,0.34,0.3,0.31,4282439063.0,13385174853.0
2020-02-14,0.33,0.34,0.31,0.33,4476902769.0,14634621178.0
2020-02-13,0.3,0.34,0.3,0.33,6473779289.0,14279885278.0
2020-02-12,0.28,0.31,0.28,0.3,4092541037.0,13304586565.0
2020-02-11,0.27,0.28,0.27,0.28,2383677083.0,12244571114.0
2020-02-10,0.28,0.28,0.27,0.27,2403459577.0,11979687194.0
2020-02-09,0.28,0.29,0.28,0.28,2343599758.0,12342888604.0
2020-02-08,0.28,0.28,0.27,0.28,2380993304.0,12115026113.0
2020-02-07,0.28,0.29,0.28,0.28,2372731517.0,12204223474.0
2020-02-06,0.28,0.29,0.27,0.28,3079150333.0,12332253053.0
2020-02-05,0.27,0.28,0.27,0.28,3332447611.0,12124855856.0
2020-02-04,0.25,0.27,0.25,0.27,2900951896.0,11659047307.0
2020-02-03,0.25,0.26,0.25,0.25,2156814065.0,11126754979.0
2020-02-02,0.24,0.26,0.24,0.25,2477130012.0,10953472898.0
2020-02-01,0.24,0.24,0.24,0.24,1592451417.0,10548109281.0
2020-01-31,0.24,0.24,0.23,0.24,1892170752.0,10451015954.0
2020-01-30,0.24,0.25,0.23,0.24,2125017678.0,10643624488.0
2020-01-29,0.24,0.24,0.24,0.24,1883265674.0,10297986176.0
2020-01-28,0.23,0.24,0.23,0.24,2052700894.0,10418484690.0
2020-01-27,0.23,0.23,0.23,0.23,1722593699.0,10098829103.0
2020-01-26,0.22,0.23,0.22,0.23,1583964764.0,10075423155.0
2020-01-25,0.22,0.22,0.22,0.22,1373179560.0,9627353633.0
2020-01-24,0.23,0.23,0.22,0.22,1706347379.0,9741530849.0
2020-01-23,0.24,0.24,0.22,0.23,1600294983.0,9875297162.0
2020-01-22,0.24,0.24,0.23,0.24,1517150861.0,10309942100.0
2020-01-21,0.23,0.24,0.23,0.24,1701652845.0,10358425747.0
2020-01-20,0.24,0.24,0.23,0.23,1723535818.0,10184268786.0
2020-01-19,0.24,0.25,0.23,0.24,2211717302.0,10284187005.0
2020-01-18,0.24,0.25,0.23,0.24,2391157804.0,10620350242.0
2020-01-17,0.23,0.24,0.23,0.24,2418043081.0,10423473280.0
2020-01-16,0.23,0.23,0.22,0.23,2066952513.0,9978103123.0
2020-01-15,0.23,0.24,0.23,0.23,2590278224.0,10166738989.0
2020-01-14,0.21,0.24,0.21,0.23,2639844916.0,10244977875.0
