Date,Open*,High,Low,Close**,Volume,Market Cap
3/23/2020,157.78,169.43,155.62,168.51,3149579336,3091166642
3/22/2020,167.8,182.03,156.61,157.78,3365019330,2894145363
3/21/2020,160.59,171.54,157.08,167.7,3036999420,3075663812
3/20/2020,156.44,175.51,149.51,160.33,3784711874,2940325995
3/19/2020,119.59,166.39,118.1,156.32,3116861239,2866452832
3/18/2020,116.58,119.35,112.22,119.35,1592444482,2188240708
3/17/2020,109.74,121.78,109.71,117.01,1846959345,2145118674
3/16/2020,122.88,124.47,102.1,109.59,2143129008,2008884568
3/15/2020,116.1,128.58,115,122.95,1596193505,2253595393
3/14/2020,121.08,125.15,115.02,116.31,1739920784,2131684760
3/13/2020,108.72,125.86,88.07,120.9,3495044246,2215635399
3/12/2020,190.24,191.27,107.1,108.79,2540501992,1993443454
3/11/2020,198.81,200.56,177.23,190.51,1783158747,3490756151
3/10/2020,199.2,202.28,194.5,198.83,1893086091,3642792872
3/9/2020,197.89,201.36,189.07,199.18,2510235141,3648762066
3/8/2020,234.23,234.23,196.33,197.95,2252966254,3625901374
3/7/2020,245.32,245.68,229.19,234.23,1910397713,4290029659
3/6/2020,240.83,248.55,238.22,245.07,2260275207,4488244298
3/5/2020,231.4,247.81,231.4,240.62,2431717715,4406176623
3/4/2020,246.48,247.88,224.86,231.22,2142182865,4233580944
3/3/2020,251.69,253.98,242.2,246.48,2741753419,4512752617
3/2/2020,228.52,258.11,227.16,251.41,2887136059,4602595814
3/1/2020,212.32,228.73,212.17,228.52,2461691016,4182980992
2/29/2020,215.83,220.7,209.63,212.29,1925700287,3885583525
2/28/2020,226.78,230.77,210.53,215.97,2325970138,3952595223
2/27/2020,225.01,233.8,217.05,226.55,2584680224,4145814248
2/26/2020,259.58,259.67,215.12,225.03,3532653944,4117499598
2/25/2020,277.49,278.35,256.59,259.76,2300066161,4752645344
2/24/2020,294.48,298.43,270.28,277.38,2390831344,5074420607
2/23/2020,280.53,294.55,280.07,294.39,2241456507,5385055786
2/22/2020,289.44,290.28,276.62,280.41,2094451769,5128781295
2/21/2020,285.51,293.91,283.3,289.44,2282759105,5293536439
2/20/2020,287.22,305.2,280.15,285.5,2927371823,5220883968
2/19/2020,309.23,314.45,288.73,288.73,2781178232,5279438577
2/18/2020,309.51,322.96,290.22,309.11,3499501110,5651528354
2/17/2020,285.42,315.41,257.07,309.44,3724652669,5657134753
2/16/2020,310.4,321.44,266.85,285.87,3044207063,5225615842
